id,filename,url,desc,createTime,downloadTime,author,collectCount,commentCount,diggCount,playCount,shareCount,correctedUrl,days_since_posted,virality,virality_log,frame_rate,duration,total_frames,height,width,is_viral,virality_score
7344207087544651051,meme.palace1_7344207087544651051.mp4,https://www.tiktok.com/@fencepot/video/7350481582219595054,That was not slime😂 #fyp #funnyvideos #viral #roblox #homie ,2024-03-09 03:54:57,00:41.7,meme.palace1,433700,13600,2700000,14400000,38600,https://www.tiktok.com/@meme.palace1/video/7344207087544651051,49.89243964516204,1.6657054116885943,0.980468717409799,59.793577981651374,14.516667,869,1024,576,1,0.7919593505721026
7325480273729195306,rotterz.movie_7325480273729195306.mp4,https://www.tiktok.com/@espn/video/7331881406999579946,#foryou #fyp #tiktok ,2024-01-18 16:45:10,00:43.5,rotterz.movie,179400,4637,1900000,13600000,5498,https://www.tiktok.com/@rotterz.movie/video/7325480273729195306,100.35756695997684,0.336051653202116,0.28971873694351,23.976,138.763764,3327,1024,576,1,0.7596443932323905
7324114564918857002,omarnutro_7324114564918857002.mp4,https://www.tiktok.com/@ssundayschool/video/7350902935401860394,Bro is nevir goin away😔💔,2024-01-15 00:25:29,00:47.2,omarnutro,21200,704,174700,1600000,619,https://www.tiktok.com/@omarnutro/video/7324114564918857002,104.037902608125,-0.8395467229348822,-1.8297524874209576,28.88059701492537,8.933333,258,1024,576,0,0.6270205294270572
7346406386181459243,kovubp_7346406386181459243.mp4,https://www.tiktok.com/@kirkiimad/video/7335553171881839878,hide your girl 🫣🔥 #fit #dogtok #travisscott #drip #dogvideo ,2024-03-15 02:08:58,00:49.0,kovubp,1300000,99400,20600000,149800000,483200,https://www.tiktok.com/@kovubp/video/7346406386181459243,43.96603918219908,15.525314733564388,2.804893431460427,30.0,15.766667,473,1024,576,1,0.9236101721079704
7325610297476074794,ohhitssadrii_7325610297476074794.mp4,https://www.tiktok.com/@hopecoreeveryday/video/7344781839841692974,she trimm tb some”ok tik tok im coming get it” #fyp #highschool #viral ,2024-01-19 01:09:43,00:50.5,ohhitssadrii,225300,10500,2000000,14800000,3675,https://www.tiktok.com/@ohhitssadrii/video/7325610297476074794,100.0071850155324,0.441111786900922,0.3654148899286691,30.0,8.133333,244,1024,576,1,0.7641935410887767
7352884930378026286,tumytum_7352884930378026286.mp4,https://www.tiktok.com/@splashe.nfl/video/7336417374993796394,TAG a better SN1PER 🤫🧏 #fyp #fortnite #fortniteclips #tumytum ,2024-04-01 13:09:32,00:51.8,tumytum,79500,6059,582100,3800000,55700,https://www.tiktok.com/@tumytum/video/7352884930378026286,26.507312330347222,0.8681746370217798,0.6249618242065376,60.0,66.45,3987,1024,576,1,0.724640310391632
7346617179242057006,viral_clippzzz_7346617179242057006.mp4,https://www.tiktok.com/@skzshiper/video/7334947545929616646,The dougie got me#dukedennis #AMP ,2024-03-15 15:47:18,00:55.7,viral_clippzzz,85400,2542,1000000,6500000,15000,https://www.tiktok.com/@viral_clippzzz/video/7346617179242057006,43.39775214516204,0.6728959821398576,0.514556245618612,30.0,17.466667,524,1024,576,1,0.7331592447062998
7333808581130685739,kishasweets_7333808581130685739.mp4,https://www.tiktok.com/@houseofhighlights/video/7349549260616240430,He ate that brownie into a gun now he lookin crazy 😩😂😂😂😂#fyp #chicago #funny #kids #food #Grandsun ,2024-02-10 03:23:12,00:57.4,kishasweets,236700,29300,2800000,20300000,166900,https://www.tiktok.com/@kishasweets/video/7333808581130685739,77.91448825627316,2.0495117858050995,1.1149815075788778,29.97,8.942276,268,1082,576,1,0.8167227393782823
7348810732932271403,funnycats0ftiktok_7348810732932271403.mp4,https://www.tiktok.com/@papisaocoofficial/video/7352320168455884037,Part 41 | Orange cat behavior! Funny cat videos #funnycats #funnyanimals #funnypets,2024-03-21 13:39:10,00:58.8,funnycats0ftiktok,643600,17900,6200000,48000000,675000,https://www.tiktok.com/@funnycats0ftiktok/video/7348810732932271403,37.48673362664352,6.959380983511701,2.074351230941878,30.0,75.633333,2269,1024,576,1,0.862896002021329
7331134375796509995,mainlymannie_7331134375796509995.mp4,https://www.tiktok.com/@qa_yop7/video/7333935067275742482,A DAY WITH BOSS AND CEO! #BossandCEO #Mainlymabnie #fy #corporate #jobs #comedy #longervideos #jokes #hatemyboss #jobsbelike #BossLifestyle #Management ,2024-02-02 22:26:18,01:01.9,mainlymannie,778900,55200,6700000,63600000,143900,https://www.tiktok.com/@mainlymannie/video/7331134375796509995,85.12066881182871,4.89896843114567,1.7747774934462983,29.96241543472814,133.033333,3986,1024,576,1,0.864599103797979
7342278057832549675,danyuhll_7342278057832549675.mp4,https://www.tiktok.com/@murphcavs/video/7343770882235518254,absolutely not 🙅‍♂️ #fyp #viral #fashion #fashiontiktok #fashioninspo #OOTD #foryoupage #fypシ #streetwear ,2024-03-03 23:09:12,01:07.7,danyuhll,46400,1619,589100,5100000,1408,https://www.tiktok.com/@danyuhll/video/7342278057832549675,55.09087714516204,0.2160965557146521,0.1956461847622171,30.0,9.733333,292,1024,576,1,0.692860645684875
7336762413808733483,eze.see_7336762413808733483.mp4,https://www.tiktok.com/@realstableronaldo/video/7334885847059189035,#fyp #foryou #viral ,2024-02-18 02:25:35,01:09.6,eze.see,156500,4833,847400,3700000,11500,https://www.tiktok.com/@eze.see/video/7336762413808733483,69.95449983034723,0.1039706539069165,0.0989133658955525,30.0,61.833333,1855,1024,576,1,0.7188912609107414
